NUMANOMES;NOMMES;NUMMES;NOMMESANO;NOMBMSANO;NOMTMSANO;NOMSMSANO;NOMBMS;NOMTMS;NOMSMS
201301;JANEIRO;1;jan/13;1o BIMESTRE/2013;1o TRIMESTRE/2013;1o SEMESTRE/2013;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201302;FEVEREIRO;2;fev/13;1o BIMESTRE/2013;1o TRIMESTRE/2013;1o SEMESTRE/2013;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201303;MARÇO;3;mar/13;2o BIMESTRE/2013;1o TRIMESTRE/2013;1o SEMESTRE/2013;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201304;ABRIL;4;abr/13;2o BIMESTRE/2013;2o TRIMESTRE/2013;1o SEMESTRE/2013;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201305;MAIO;5;mai/13;3o BIMESTRE/2013;2o TRIMESTRE/2013;1o SEMESTRE/2013;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201306;JUNHO;6;jun/13;3o BIMESTRE/2013;2o TRIMESTRE/2013;1o SEMESTRE/2013;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201307;JULHO;7;jul/13;4o BIMESTRE/2013;3o TRIMESTRE/2013;2o SEMESTRE/2013;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201308;AGOSTO;8;ago/13;4o BIMESTRE/2013;3o TRIMESTRE/2013;2o SEMESTRE/2013;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201309;SETEMBRO;9;set/13;5o BIMESTRE/2013;3o TRIMESTRE/2013;2o SEMESTRE/2013;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201310;OUTUBRO;10;out/13;5o BIMESTRE/2013;4o TRIMESTRE/2013;2o SEMESTRE/2013;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201311;NOVEMBRO;11;nov/13;6o BIMESTRE/2013;4o TRIMESTRE/2013;2o SEMESTRE/2013;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201312;DEZEMBRO;12;dez/13;6o BIMESTRE/2013;4o TRIMESTRE/2013;2o SEMESTRE/2013;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201401;JANEIRO;1;jan/14;1o BIMESTRE/2014;1o TRIMESTRE/2014;1o SEMESTRE/2014;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201402;FEVEREIRO;2;fev/14;1o BIMESTRE/2014;1o TRIMESTRE/2014;1o SEMESTRE/2014;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201403;MARÇO;3;mar/14;2o BIMESTRE/2014;1o TRIMESTRE/2014;1o SEMESTRE/2014;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201404;ABRIL;4;abr/14;2o BIMESTRE/2014;2o TRIMESTRE/2014;1o SEMESTRE/2014;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201405;MAIO;5;mai/14;3o BIMESTRE/2014;2o TRIMESTRE/2014;1o SEMESTRE/2014;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201406;JUNHO;6;jun/14;3o BIMESTRE/2014;2o TRIMESTRE/2014;1o SEMESTRE/2014;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201407;JULHO;7;jul/14;4o BIMESTRE/2014;3o TRIMESTRE/2014;2o SEMESTRE/2014;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201408;AGOSTO;8;ago/14;4o BIMESTRE/2014;3o TRIMESTRE/2014;2o SEMESTRE/2014;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201409;SETEMBRO;9;set/14;5o BIMESTRE/2014;3o TRIMESTRE/2014;2o SEMESTRE/2014;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201410;OUTUBRO;10;out/14;5o BIMESTRE/2014;4o TRIMESTRE/2014;2o SEMESTRE/2014;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201411;NOVEMBRO;11;nov/14;6o BIMESTRE/2014;4o TRIMESTRE/2014;2o SEMESTRE/2014;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201412;DEZEMBRO;12;dez/14;6o BIMESTRE/2014;4o TRIMESTRE/2014;2o SEMESTRE/2014;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201501;JANEIRO;1;jan/15;1o BIMESTRE/2015;1o TRIMESTRE/2015;1o SEMESTRE/2015;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201502;FEVEREIRO;2;fev/15;1o BIMESTRE/2015;1o TRIMESTRE/2015;1o SEMESTRE/2015;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201503;MARÇO;3;mar/15;2o BIMESTRE/2015;1o TRIMESTRE/2015;1o SEMESTRE/2015;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201504;ABRIL;4;abr/15;2o BIMESTRE/2015;2o TRIMESTRE/2015;1o SEMESTRE/2015;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201505;MAIO;5;mai/15;3o BIMESTRE/2015;2o TRIMESTRE/2015;1o SEMESTRE/2015;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201506;JUNHO;6;jun/15;3o BIMESTRE/2015;2o TRIMESTRE/2015;1o SEMESTRE/2015;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201507;JULHO;7;jul/15;4o BIMESTRE/2015;3o TRIMESTRE/2015;2o SEMESTRE/2015;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201508;AGOSTO;8;ago/15;4o BIMESTRE/2015;3o TRIMESTRE/2015;2o SEMESTRE/2015;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201509;SETEMBRO;9;set/15;5o BIMESTRE/2015;3o TRIMESTRE/2015;2o SEMESTRE/2015;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201510;OUTUBRO;10;out/15;5o BIMESTRE/2015;4o TRIMESTRE/2015;2o SEMESTRE/2015;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201511;NOVEMBRO;11;nov/15;6o BIMESTRE/2015;4o TRIMESTRE/2015;2o SEMESTRE/2015;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201512;DEZEMBRO;12;dez/15;6o BIMESTRE/2015;4o TRIMESTRE/2015;2o SEMESTRE/2015;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201601;JANEIRO;1;jan/16;1o BIMESTRE/2016;1o TRIMESTRE/2016;1o SEMESTRE/2016;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201602;FEVEREIRO;2;fev/16;1o BIMESTRE/2016;1o TRIMESTRE/2016;1o SEMESTRE/2016;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201603;MARÇO;3;mar/16;2o BIMESTRE/2016;1o TRIMESTRE/2016;1o SEMESTRE/2016;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201604;ABRIL;4;abr/16;2o BIMESTRE/2016;2o TRIMESTRE/2016;1o SEMESTRE/2016;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201605;MAIO;5;mai/16;3o BIMESTRE/2016;2o TRIMESTRE/2016;1o SEMESTRE/2016;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201606;JUNHO;6;jun/16;3o BIMESTRE/2016;2o TRIMESTRE/2016;1o SEMESTRE/2016;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201607;JULHO;7;jul/16;4o BIMESTRE/2016;3o TRIMESTRE/2016;2o SEMESTRE/2016;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201608;AGOSTO;8;ago/16;4o BIMESTRE/2016;3o TRIMESTRE/2016;2o SEMESTRE/2016;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201609;SETEMBRO;9;set/16;5o BIMESTRE/2016;3o TRIMESTRE/2016;2o SEMESTRE/2016;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201610;OUTUBRO;10;out/16;5o BIMESTRE/2016;4o TRIMESTRE/2016;2o SEMESTRE/2016;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201611;NOVEMBRO;11;nov/16;6o BIMESTRE/2016;4o TRIMESTRE/2016;2o SEMESTRE/2016;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201612;DEZEMBRO;12;dez/16;6o BIMESTRE/2016;4o TRIMESTRE/2016;2o SEMESTRE/2016;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201701;JANEIRO;1;jan/17;1o BIMESTRE/2017;1o TRIMESTRE/2017;1o SEMESTRE/2017;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201702;FEVEREIRO;2;fev/17;1o BIMESTRE/2017;1o TRIMESTRE/2017;1o SEMESTRE/2017;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201703;MARÇO;3;mar/17;2o BIMESTRE/2017;1o TRIMESTRE/2017;1o SEMESTRE/2017;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201704;ABRIL;4;abr/17;2o BIMESTRE/2017;2o TRIMESTRE/2017;1o SEMESTRE/2017;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201705;MAIO;5;mai/17;3o BIMESTRE/2017;2o TRIMESTRE/2017;1o SEMESTRE/2017;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201706;JUNHO;6;jun/17;3o BIMESTRE/2017;2o TRIMESTRE/2017;1o SEMESTRE/2017;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201707;JULHO;7;jul/17;4o BIMESTRE/2017;3o TRIMESTRE/2017;2o SEMESTRE/2017;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201708;AGOSTO;8;ago/17;4o BIMESTRE/2017;3o TRIMESTRE/2017;2o SEMESTRE/2017;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201709;SETEMBRO;9;set/17;5o BIMESTRE/2017;3o TRIMESTRE/2017;2o SEMESTRE/2017;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201710;OUTUBRO;10;out/17;5o BIMESTRE/2017;4o TRIMESTRE/2017;2o SEMESTRE/2017;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201711;NOVEMBRO;11;nov/17;6o BIMESTRE/2017;4o TRIMESTRE/2017;2o SEMESTRE/2017;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201712;DEZEMBRO;12;dez/17;6o BIMESTRE/2017;4o TRIMESTRE/2017;2o SEMESTRE/2017;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201801;JANEIRO;1;jan/18;1o BIMESTRE/2018;1o TRIMESTRE/2018;1o SEMESTRE/2018;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201802;FEVEREIRO;2;fev/18;1o BIMESTRE/2018;1o TRIMESTRE/2018;1o SEMESTRE/2018;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201803;MARÇO;3;mar/18;2o BIMESTRE/2018;1o TRIMESTRE/2018;1o SEMESTRE/2018;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201804;ABRIL;4;abr/18;2o BIMESTRE/2018;2o TRIMESTRE/2018;1o SEMESTRE/2018;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201805;MAIO;5;mai/18;3o BIMESTRE/2018;2o TRIMESTRE/2018;1o SEMESTRE/2018;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201806;JUNHO;6;jun/18;3o BIMESTRE/2018;2o TRIMESTRE/2018;1o SEMESTRE/2018;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201807;JULHO;7;jul/18;4o BIMESTRE/2018;3o TRIMESTRE/2018;2o SEMESTRE/2018;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201808;AGOSTO;8;ago/18;4o BIMESTRE/2018;3o TRIMESTRE/2018;2o SEMESTRE/2018;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201809;SETEMBRO;9;set/18;5o BIMESTRE/2018;3o TRIMESTRE/2018;2o SEMESTRE/2018;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201810;OUTUBRO;10;out/18;5o BIMESTRE/2018;4o TRIMESTRE/2018;2o SEMESTRE/2018;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201811;NOVEMBRO;11;nov/18;6o BIMESTRE/2018;4o TRIMESTRE/2018;2o SEMESTRE/2018;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201812;DEZEMBRO;12;dez/18;6o BIMESTRE/2018;4o TRIMESTRE/2018;2o SEMESTRE/2018;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201901;JANEIRO;1;jan/19;1o BIMESTRE/2019;1o TRIMESTRE/2019;1o SEMESTRE/2019;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201902;FEVEREIRO;2;fev/19;1o BIMESTRE/2019;1o TRIMESTRE/2019;1o SEMESTRE/2019;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201903;MARÇO;3;mar/19;2o BIMESTRE/2019;1o TRIMESTRE/2019;1o SEMESTRE/2019;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
201904;ABRIL;4;abr/19;2o BIMESTRE/2019;2o TRIMESTRE/2019;1o SEMESTRE/2019;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201905;MAIO;5;mai/19;3o BIMESTRE/2019;2o TRIMESTRE/2019;1o SEMESTRE/2019;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201906;JUNHO;6;jun/19;3o BIMESTRE/2019;2o TRIMESTRE/2019;1o SEMESTRE/2019;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
201907;JULHO;7;jul/19;4o BIMESTRE/2019;3o TRIMESTRE/2019;2o SEMESTRE/2019;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201908;AGOSTO;8;ago/19;4o BIMESTRE/2019;3o TRIMESTRE/2019;2o SEMESTRE/2019;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201909;SETEMBRO;9;set/19;5o BIMESTRE/2019;3o TRIMESTRE/2019;2o SEMESTRE/2019;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
201910;OUTUBRO;10;out/19;5o BIMESTRE/2019;4o TRIMESTRE/2019;2o SEMESTRE/2019;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201911;NOVEMBRO;11;nov/19;6o BIMESTRE/2019;4o TRIMESTRE/2019;2o SEMESTRE/2019;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
201912;DEZEMBRO;12;dez/19;6o BIMESTRE/2019;4o TRIMESTRE/2019;2o SEMESTRE/2019;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202001;JANEIRO;1;jan/20;1o BIMESTRE/2020;1o TRIMESTRE/2020;1o SEMESTRE/2020;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202002;FEVEREIRO;2;fev/20;1o BIMESTRE/2020;1o TRIMESTRE/2020;1o SEMESTRE/2020;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202003;MARÇO;3;mar/20;2o BIMESTRE/2020;1o TRIMESTRE/2020;1o SEMESTRE/2020;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202004;ABRIL;4;abr/20;2o BIMESTRE/2020;2o TRIMESTRE/2020;1o SEMESTRE/2020;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202005;MAIO;5;mai/20;3o BIMESTRE/2020;2o TRIMESTRE/2020;1o SEMESTRE/2020;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202006;JUNHO;6;jun/20;3o BIMESTRE/2020;2o TRIMESTRE/2020;1o SEMESTRE/2020;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202007;JULHO;7;jul/20;4o BIMESTRE/2020;3o TRIMESTRE/2020;2o SEMESTRE/2020;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202008;AGOSTO;8;ago/20;4o BIMESTRE/2020;3o TRIMESTRE/2020;2o SEMESTRE/2020;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202009;SETEMBRO;9;set/20;5o BIMESTRE/2020;3o TRIMESTRE/2020;2o SEMESTRE/2020;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202010;OUTUBRO;10;out/20;5o BIMESTRE/2020;4o TRIMESTRE/2020;2o SEMESTRE/2020;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202011;NOVEMBRO;11;nov/20;6o BIMESTRE/2020;4o TRIMESTRE/2020;2o SEMESTRE/2020;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202012;DEZEMBRO;12;dez/20;6o BIMESTRE/2020;4o TRIMESTRE/2020;2o SEMESTRE/2020;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202101;JANEIRO;1;jan/21;1o BIMESTRE/2021;1o TRIMESTRE/2021;1o SEMESTRE/2021;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202102;FEVEREIRO;2;fev/21;1o BIMESTRE/2021;1o TRIMESTRE/2021;1o SEMESTRE/2021;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202103;MARÇO;3;mar/21;2o BIMESTRE/2021;1o TRIMESTRE/2021;1o SEMESTRE/2021;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202104;ABRIL;4;abr/21;2o BIMESTRE/2021;2o TRIMESTRE/2021;1o SEMESTRE/2021;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202105;MAIO;5;mai/21;3o BIMESTRE/2021;2o TRIMESTRE/2021;1o SEMESTRE/2021;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202106;JUNHO;6;jun/21;3o BIMESTRE/2021;2o TRIMESTRE/2021;1o SEMESTRE/2021;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202107;JULHO;7;jul/21;4o BIMESTRE/2021;3o TRIMESTRE/2021;2o SEMESTRE/2021;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202108;AGOSTO;8;ago/21;4o BIMESTRE/2021;3o TRIMESTRE/2021;2o SEMESTRE/2021;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202109;SETEMBRO;9;set/21;5o BIMESTRE/2021;3o TRIMESTRE/2021;2o SEMESTRE/2021;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202110;OUTUBRO;10;out/21;5o BIMESTRE/2021;4o TRIMESTRE/2021;2o SEMESTRE/2021;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202111;NOVEMBRO;11;nov/21;6o BIMESTRE/2021;4o TRIMESTRE/2021;2o SEMESTRE/2021;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202112;DEZEMBRO;12;dez/21;6o BIMESTRE/2021;4o TRIMESTRE/2021;2o SEMESTRE/2021;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202201;JANEIRO;1;jan/22;1o BIMESTRE/2022;1o TRIMESTRE/2022;1o SEMESTRE/2022;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202202;FEVEREIRO;2;fev/22;1o BIMESTRE/2022;1o TRIMESTRE/2022;1o SEMESTRE/2022;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202203;MARÇO;3;mar/22;2o BIMESTRE/2022;1o TRIMESTRE/2022;1o SEMESTRE/2022;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202204;ABRIL;4;abr/22;2o BIMESTRE/2022;2o TRIMESTRE/2022;1o SEMESTRE/2022;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202205;MAIO;5;mai/22;3o BIMESTRE/2022;2o TRIMESTRE/2022;1o SEMESTRE/2022;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202206;JUNHO;6;jun/22;3o BIMESTRE/2022;2o TRIMESTRE/2022;1o SEMESTRE/2022;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202207;JULHO;7;jul/22;4o BIMESTRE/2022;3o TRIMESTRE/2022;2o SEMESTRE/2022;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202208;AGOSTO;8;ago/22;4o BIMESTRE/2022;3o TRIMESTRE/2022;2o SEMESTRE/2022;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202209;SETEMBRO;9;set/22;5o BIMESTRE/2022;3o TRIMESTRE/2022;2o SEMESTRE/2022;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202210;OUTUBRO;10;out/22;5o BIMESTRE/2022;4o TRIMESTRE/2022;2o SEMESTRE/2022;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202211;NOVEMBRO;11;nov/22;6o BIMESTRE/2022;4o TRIMESTRE/2022;2o SEMESTRE/2022;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202212;DEZEMBRO;12;dez/22;6o BIMESTRE/2022;4o TRIMESTRE/2022;2o SEMESTRE/2022;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202301;JANEIRO;1;jan/23;1o BIMESTRE/2023;1o TRIMESTRE/2023;1o SEMESTRE/2023;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202302;FEVEREIRO;2;fev/23;1o BIMESTRE/2023;1o TRIMESTRE/2023;1o SEMESTRE/2023;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202303;MARÇO;3;mar/23;2o BIMESTRE/2023;1o TRIMESTRE/2023;1o SEMESTRE/2023;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202304;ABRIL;4;abr/23;2o BIMESTRE/2023;2o TRIMESTRE/2023;1o SEMESTRE/2023;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202305;MAIO;5;mai/23;3o BIMESTRE/2023;2o TRIMESTRE/2023;1o SEMESTRE/2023;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202306;JUNHO;6;jun/23;3o BIMESTRE/2023;2o TRIMESTRE/2023;1o SEMESTRE/2023;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202307;JULHO;7;jul/23;4o BIMESTRE/2023;3o TRIMESTRE/2023;2o SEMESTRE/2023;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202308;AGOSTO;8;ago/23;4o BIMESTRE/2023;3o TRIMESTRE/2023;2o SEMESTRE/2023;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202309;SETEMBRO;9;set/23;5o BIMESTRE/2023;3o TRIMESTRE/2023;2o SEMESTRE/2023;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202310;OUTUBRO;10;out/23;5o BIMESTRE/2023;4o TRIMESTRE/2023;2o SEMESTRE/2023;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202311;NOVEMBRO;11;nov/23;6o BIMESTRE/2023;4o TRIMESTRE/2023;2o SEMESTRE/2023;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202312;DEZEMBRO;12;dez/23;6o BIMESTRE/2023;4o TRIMESTRE/2023;2o SEMESTRE/2023;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202401;JANEIRO;1;jan/24;1o BIMESTRE/2024;1o TRIMESTRE/2024;1o SEMESTRE/2024;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202402;FEVEREIRO;2;fev/24;1o BIMESTRE/2024;1o TRIMESTRE/2024;1o SEMESTRE/2024;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202403;MARÇO;3;mar/24;2o BIMESTRE/2024;1o TRIMESTRE/2024;1o SEMESTRE/2024;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202404;ABRIL;4;abr/24;2o BIMESTRE/2024;2o TRIMESTRE/2024;1o SEMESTRE/2024;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202405;MAIO;5;mai/24;3o BIMESTRE/2024;2o TRIMESTRE/2024;1o SEMESTRE/2024;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202406;JUNHO;6;jun/24;3o BIMESTRE/2024;2o TRIMESTRE/2024;1o SEMESTRE/2024;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202407;JULHO;7;jul/24;4o BIMESTRE/2024;3o TRIMESTRE/2024;2o SEMESTRE/2024;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202408;AGOSTO;8;ago/24;4o BIMESTRE/2024;3o TRIMESTRE/2024;2o SEMESTRE/2024;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202409;SETEMBRO;9;set/24;5o BIMESTRE/2024;3o TRIMESTRE/2024;2o SEMESTRE/2024;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202410;OUTUBRO;10;out/24;5o BIMESTRE/2024;4o TRIMESTRE/2024;2o SEMESTRE/2024;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202411;NOVEMBRO;11;nov/24;6o BIMESTRE/2024;4o TRIMESTRE/2024;2o SEMESTRE/2024;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202412;DEZEMBRO;12;dez/24;6o BIMESTRE/2024;4o TRIMESTRE/2024;2o SEMESTRE/2024;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202501;JANEIRO;1;jan/25;1o BIMESTRE/2025;1o TRIMESTRE/2025;1o SEMESTRE/2025;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202502;FEVEREIRO;2;fev/25;1o BIMESTRE/2025;1o TRIMESTRE/2025;1o SEMESTRE/2025;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202503;MARÇO;3;mar/25;2o BIMESTRE/2025;1o TRIMESTRE/2025;1o SEMESTRE/2025;2o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202504;ABRIL;4;abr/25;2o BIMESTRE/2025;2o TRIMESTRE/2025;1o SEMESTRE/2025;2o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202505;MAIO;5;mai/25;3o BIMESTRE/2025;2o TRIMESTRE/2025;1o SEMESTRE/2025;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202506;JUNHO;6;jun/25;3o BIMESTRE/2025;2o TRIMESTRE/2025;1o SEMESTRE/2025;3o BIMESTRE;2o TRIMESTRE;1o SEMESTRE
202507;JULHO;7;jul/25;4o BIMESTRE/2025;3o TRIMESTRE/2025;2o SEMESTRE/2025;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202508;AGOSTO;8;ago/25;4o BIMESTRE/2025;3o TRIMESTRE/2025;2o SEMESTRE/2025;4o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202509;SETEMBRO;9;set/25;5o BIMESTRE/2025;3o TRIMESTRE/2025;2o SEMESTRE/2025;5o BIMESTRE;3o TRIMESTRE;2o SEMESTRE
202510;OUTUBRO;10;out/25;5o BIMESTRE/2025;4o TRIMESTRE/2025;2o SEMESTRE/2025;5o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202511;NOVEMBRO;11;nov/25;6o BIMESTRE/2025;4o TRIMESTRE/2025;2o SEMESTRE/2025;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202512;DEZEMBRO;12;dez/25;6o BIMESTRE/2025;4o TRIMESTRE/2025;2o SEMESTRE/2025;6o BIMESTRE;4o TRIMESTRE;2o SEMESTRE
202601;JANEIRO;1;jan/26;1o BIMESTRE/2026;1o TRIMESTRE/2026;1o SEMESTRE/2026;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
202602;FEVEREIRO;2;fev/26;1o BIMESTRE/2026;1o TRIMESTRE/2026;1o SEMESTRE/2026;1o BIMESTRE;1o TRIMESTRE;1o SEMESTRE
